Numero de documentos del corpus: 3
Numero de palabras del corpus: 579689
Palabra: !          Frec: 1926  LogProb: -5.73714798924563
Palabra: !!         Frec: 469   LogProb: -7.148134962955892
Palabra: !!!        Frec: 258   LogProb: -7.744039595960459
Palabra: !!!!       Frec: 106   LogProb: -8.62803882319809
Palabra: !!!!!      Frec: 57    LogProb: -9.240424647113576
Palabra: !!!!!!     Frec: 39    LogProb: -9.61198820354606
Palabra: !!!!!!!    Frec: 29    LogProb: -9.89967027599784
Palabra: !!!!!!!!   Frec: 25    LogProb: -10.042771119638514
Palabra: !!!!!!!!!  Frec: 23    LogProb: -10.12281382731205
Palabra: !!!!!!!!!! Frec: 23    LogProb: -10.12281382731205
Palabra: !!!!!!!!!!! Frec: 20    LogProb: -10.256345219936573
Palabra: !!!!!!!!!!!! Frec: 16    LogProb: -10.46765431360378
Palabra: !!!!!!!!!!!!! Frec: 13    LogProb: -10.661810328044737
Palabra: !!!!!!!!!!!!!! Frec: 12    LogProb: -10.73591830019846
Palabra: !!!!!!!!!!!!!!! Frec: 10    LogProb: -10.902972384861625
Palabra: !!!!!!!!!!!!!!!! Frec: 8     LogProb: -11.103643080323776
Palabra: !!!!!!!!!!!!!!!!!!! Frec: 5     LogProb: -11.509108188431941
Palabra: !!!!!!!!!!!!!!!!!!!! Frec: 4     LogProb: -11.691429745225896
Palabra: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Frec: 2     LogProb: -12.202255368991887
Palabra: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Frec: 1     LogProb: -12.60772047710005
Palabra: !!!!!!!!!!!!!!!!!!!!!!< Frec: 1     LogProb: -12.60772047710005
Palabra: !!!!!!!!!!!!!!:] Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!!!!!!!!:] Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!!!!<   Frec: 2     LogProb: -12.202255368991887
Palabra: !!!!!!&    Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!!....  Frec: 1     LogProb: -12.60772047710005
Palabra: !!!!!:-(   Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!!=]]]  Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!!?!?!?!? Frec: 1     LogProb: -12.60772047710005
Palabra: !!!!(:     Frec: 1     LogProb: -12.60772047710005
Palabra: !!!!---    Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!:)     Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!='(((( Frec: 0     LogProb: -13.300867657659996
Palabra: !!!!??/    Frec: 1     LogProb: -12.60772047710005
Palabra: !!!$       Frec: 0     LogProb: -13.300867657659996
Palabra: !!!&       Frec: 0     LogProb: -13.300867657659996
Palabra: !!!'       Frec: 0     LogProb: -13.300867657659996
Palabra: !!!(       Frec: 4     LogProb: -11.691429745225896
Palabra: !!!((:     Frec: 1     LogProb: -12.60772047710005
Palabra: !!!(:      Frec: 3     LogProb: -11.914573296540105
Palabra: !!!*       Frec: 0     LogProb: -13.300867657659996
Palabra: !!!.       Frec: 2     LogProb: -12.202255368991887
Palabra: !!!/       Frec: 0     LogProb: -13.300867657659996
Palabra: !!!:       Frec: 2     LogProb: -12.202255368991887
Palabra: !!!:)      Frec: 2     LogProb: -12.202255368991887
Palabra: !!!:))     Frec: 0     LogProb: -13.300867657659996
Palabra: !!!:-)     Frec: 0     LogProb: -13.300867657659996
Palabra: !!!;)      Frec: 1     LogProb: -12.60772047710005
Palabra: !!!;]      Frec: 1     LogProb: -12.60772047710005
Palabra: !!!;]<     Frec: 0     LogProb: -13.300867657659996
Palabra: !!!<       Frec: 4     LogProb: -11.691429745225896
Palabra: !!!=)      Frec: 0     LogProb: -13.300867657659996
Palabra: !!!??*!@!* Frec: 0     LogProb: -13.300867657659996
Palabra: !!![[      Frec: 0     LogProb: -13.300867657659996
Palabra: !!&        Frec: 1     LogProb: -12.60772047710005
Palabra: !!&#       Frec: 0     LogProb: -13.300867657659996
Palabra: !!(        Frec: 6     LogProb: -11.354957508604683
Palabra: !!(:       Frec: 5     LogProb: -11.509108188431941
Palabra: !!(;       Frec: 0     LogProb: -13.300867657659996
Palabra: !!*        Frec: 0     LogProb: -13.300867657659996
Palabra: !!.        Frec: 4     LogProb: -11.691429745225896
Palabra: !!..       Frec: 3     LogProb: -11.914573296540105
Palabra: !!...      Frec: 2     LogProb: -12.202255368991887
Palabra: !!/        Frec: 1     LogProb: -12.60772047710005
Palabra: !!:        Frec: 4     LogProb: -11.691429745225896
Palabra: !!:(       Frec: 0     LogProb: -13.300867657659996
Palabra: !!:)       Frec: 2     LogProb: -12.202255368991887
Palabra: !!:/       Frec: 0     LogProb: -13.300867657659996
Palabra: !!:]       Frec: 0     LogProb: -13.300867657659996
Palabra: !!:{       Frec: 0     LogProb: -13.300867657659996
Palabra: !!:~)      Frec: 0     LogProb: -13.300867657659996
Palabra: !!;        Frec: 3     LogProb: -11.914573296540105
Palabra: !!;)       Frec: 2     LogProb: -12.202255368991887
Palabra: !!;))      Frec: 0     LogProb: -13.300867657659996
Palabra: !!;-)      Frec: 0     LogProb: -13.300867657659996
Palabra: !!;-)&#    Frec: 0     LogProb: -13.300867657659996
Palabra: !!<        Frec: 10    LogProb: -10.902972384861625
Palabra: !!</       Frec: 1     LogProb: -12.60772047710005
Palabra: !!??!      Frec: 1     LogProb: -12.60772047710005
Palabra: !!???      Frec: 1     LogProb: -12.60772047710005
Palabra: !!}        Frec: 1     LogProb: -12.60772047710005
Palabra: !#         Frec: 0     LogProb: -13.300867657659996
Palabra: !$         Frec: 2     LogProb: -12.202255368991887
Palabra: !&         Frec: 4     LogProb: -11.691429745225896
Palabra: !&#        Frec: 0     LogProb: -13.300867657659996
Palabra: !'         Frec: 2     LogProb: -12.202255368991887
Palabra: !''        Frec: 0     LogProb: -13.300867657659996
Palabra: !'.        Frec: 0     LogProb: -13.300867657659996
Palabra: !(         Frec: 42    LogProb: -9.539667541966434
Palabra: !((:       Frec: 2     LogProb: -12.202255368991887
Palabra: !(+        Frec: 1     LogProb: -12.60772047710005
Palabra: !(:        Frec: 26    LogProb: -10.005030791655667
Palabra: !(;        Frec: 4     LogProb: -11.691429745225896
Palabra: !(=<       Frec: 1     LogProb: -12.60772047710005
Palabra: !)         Frec: 12    LogProb: -10.73591830019846
Palabra: !).        Frec: 1     LogProb: -12.60772047710005
Palabra: !*         Frec: 1     LogProb: -12.60772047710005
Palabra: !+         Frec: 4     LogProb: -11.691429745225896
