Numero de documentos del corpus: 3
Numero de palabras del corpus: 462964
Palabra: !          Frec: 2183  LogProb: -5.3946863429387335
Palabra: !!         Frec: 434   LogProb: -7.008253648714845
Palabra: !!!        Frec: 284   LogProb: -7.431110499534879
Palabra: !!!!       Frec: 132   LogProb: -8.193250551581775
Palabra: !!!!!      Frec: 64    LogProb: -8.909212409907893
Palabra: !!!!!!     Frec: 36    LogProb: -9.472681767159305
Palabra: !!!!!!!    Frec: 22    LogProb: -9.948105463874379
Palabra: !!!!!!!!   Frec: 22    LogProb: -9.948105463874379
Palabra: !!!!!!!!!  Frec: 9     LogProb: -10.781014586809484
Palabra: !!!!!!!!!! Frec: 7     LogProb: -11.004158138123694
Palabra: !!!!!!!!!!! Frec: 4     LogProb: -11.474161767369429
Palabra: !!!!!!!!!!!! Frec: 1     LogProb: -12.390452499243583
Palabra: !!!!!!!!!!!!! Frec: 1     LogProb: -12.390452499243583
Palabra: !!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!!!!!!!!!< Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!!!!:] Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!!!!!:] Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!!<   Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!!&    Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!....  Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!:-(   Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!=]]]  Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!!?!?!?!? Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!(:     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!---    Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!:)     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!!='(((( Frec: 3     LogProb: -11.697305318683638
Palabra: !!!!??/    Frec: 0     LogProb: -13.083599679803529
Palabra: !!!$       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!&       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!'       Frec: 2     LogProb: -11.98498739113542
Palabra: !!!(       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!((:     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!(:      Frec: 0     LogProb: -13.083599679803529
Palabra: !!!*       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!.       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!/       Frec: 1     LogProb: -12.390452499243583
Palabra: !!!:       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!:)      Frec: 0     LogProb: -13.083599679803529
Palabra: !!!:))     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!:-)     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!;)      Frec: 0     LogProb: -13.083599679803529
Palabra: !!!;]      Frec: 0     LogProb: -13.083599679803529
Palabra: !!!;]<     Frec: 0     LogProb: -13.083599679803529
Palabra: !!!<       Frec: 0     LogProb: -13.083599679803529
Palabra: !!!=)      Frec: 0     LogProb: -13.083599679803529
Palabra: !!!??*!@!* Frec: 0     LogProb: -13.083599679803529
Palabra: !!![[      Frec: 0     LogProb: -13.083599679803529
Palabra: !!&        Frec: 0     LogProb: -13.083599679803529
Palabra: !!&#       Frec: 0     LogProb: -13.083599679803529
Palabra: !!(        Frec: 0     LogProb: -13.083599679803529
Palabra: !!(:       Frec: 0     LogProb: -13.083599679803529
Palabra: !!(;       Frec: 0     LogProb: -13.083599679803529
Palabra: !!*        Frec: 0     LogProb: -13.083599679803529
Palabra: !!.        Frec: 0     LogProb: -13.083599679803529
Palabra: !!..       Frec: 0     LogProb: -13.083599679803529
Palabra: !!...      Frec: 0     LogProb: -13.083599679803529
Palabra: !!/        Frec: 1     LogProb: -12.390452499243583
Palabra: !!:        Frec: 0     LogProb: -13.083599679803529
Palabra: !!:(       Frec: 0     LogProb: -13.083599679803529
Palabra: !!:)       Frec: 0     LogProb: -13.083599679803529
Palabra: !!:/       Frec: 0     LogProb: -13.083599679803529
Palabra: !!:]       Frec: 0     LogProb: -13.083599679803529
Palabra: !!:{       Frec: 0     LogProb: -13.083599679803529
Palabra: !!:~)      Frec: 0     LogProb: -13.083599679803529
Palabra: !!;        Frec: 0     LogProb: -13.083599679803529
Palabra: !!;)       Frec: 0     LogProb: -13.083599679803529
Palabra: !!;))      Frec: 0     LogProb: -13.083599679803529
Palabra: !!;-)      Frec: 0     LogProb: -13.083599679803529
Palabra: !!;-)&#    Frec: 0     LogProb: -13.083599679803529
Palabra: !!<        Frec: 0     LogProb: -13.083599679803529
Palabra: !!</       Frec: 0     LogProb: -13.083599679803529
Palabra: !!??!      Frec: 1     LogProb: -12.390452499243583
Palabra: !!???      Frec: 0     LogProb: -13.083599679803529
Palabra: !!}        Frec: 0     LogProb: -13.083599679803529
Palabra: !#         Frec: 0     LogProb: -13.083599679803529
Palabra: !$         Frec: 0     LogProb: -13.083599679803529
Palabra: !&         Frec: 0     LogProb: -13.083599679803529
Palabra: !&#        Frec: 0     LogProb: -13.083599679803529
Palabra: !'         Frec: 5     LogProb: -11.291840210575474
Palabra: !''        Frec: 0     LogProb: -13.083599679803529
Palabra: !'.        Frec: 3     LogProb: -11.697305318683638
Palabra: !(         Frec: 2     LogProb: -11.98498739113542
Palabra: !((:       Frec: 0     LogProb: -13.083599679803529
Palabra: !(+        Frec: 0     LogProb: -13.083599679803529
Palabra: !(:        Frec: 0     LogProb: -13.083599679803529
Palabra: !(;        Frec: 0     LogProb: -13.083599679803529
Palabra: !(=<       Frec: 0     LogProb: -13.083599679803529
Palabra: !)         Frec: 2     LogProb: -11.98498739113542
Palabra: !).        Frec: 0     LogProb: -13.083599679803529
Palabra: !*         Frec: 0     LogProb: -13.083599679803529
Palabra: !+         Frec: 1     LogProb: -12.390452499243583
Palabra: !+(        Frec: 1     LogProb: -12.390452499243583
Palabra: !-         Frec: 0     LogProb: -13.083599679803529
Palabra: !.         Frec: 9     LogProb: -10.781014586809484
Palabra: !..        Frec: 9     LogProb: -10.781014586809484
Palabra: !...       Frec: 6     LogProb: -11.137689530748215
Palabra: !...&      Frec: 0     LogProb: -13.083599679803529
Palabra: !....      Frec: 3     LogProb: -11.697305318683638
Palabra: !.....     Frec: 0     LogProb: -13.083599679803529
Palabra: !......    Frec: 0     LogProb: -13.083599679803529
Palabra: !........... Frec: 0     LogProb: -13.083599679803529
Palabra: !:         Frec: 1     LogProb: -12.390452499243583
